Message,Date
"And, that's top discount negotiate MSRP. However, 24/10 residual aforementioned GT2 AWD 51%, MF .00191, 4.58%. GT2 stickers north $50K, IIRC.",February 2020
"Add $350 lease Kia buying due Key FOB scam. Also, way, $400 disposition fee waived buy another Kia (or lease). waived buy lease Kia Finance, Kia Finance only.",February 2020
"hear Key FOB scam dealership Kia Finance cahoots on? Basically, way works ""doctor"" paperwork behind closed doors show 1 Key FOB returned, even returned two. say reason given return receipt writing drop date lease manager wasnt' it.",February 2020
That's jaw-dropping lease incentive. Amazing deal. Maybe not... what's MF residual? Edit... saw answered. Like thought MF hurts.,February 2020
"I'm pretty sure that's case captive bank. reason lease brand, again.",February 2020
evidence widespread problem?,February 2020
"So, rough math right, say $50K MSRP, 10K incentive, additional $2K sticker, get $25K residual, i.e. $542 capital payment +$120 financial payment +whatever fees taxes = $640+fees/taxes/month zero down, say $700-720 per month short term 24-month lease. Similarly priced (MSRP) BMW 3-series (essentially entry level 330) even higher residual (say 61%,, lower MF, say 0.00142), gotten say $4K sticker would probably slightly more. However, load bimmer get similar equipment performance adding least couple hundred bucks.",February 2020
month 2 buy residual plus principal much different equation.,February 2020
"think big Stinger incentives 2019 models, Acura TLX 2020s. hand might consider 2020 TLX V-6 super-handling AWD c. $400 month $2500 down, although need currently either Acura another luxury brand list. https://www.acura.com/tools/current-luxury-car-suv-offers-leasing FEATURED STANDARD LEASE Expires 03/02/20 2020 TLX 9 Speed Automatic SH-AWD Featured Special Loyalty/Conquest Lease. well-qualified lessees currently 2010 newer Acura, Audi, BMW, Buick, Cadillac, Genesis, Honda, Infiniti, Lexus, Lincoln, Mercedes Benz Volvo vehicle. $389 Per month 36 months. $2,499 Total due signing",February 2020
"like that. think it, sounds like interesting plan. still suffer lousy depreciation, least mitigated huge upfront discount buyout save finance charges, use cash. cash, may better let lease run course unless get really low interest loan, like 2%. top tier open market rates 36-48 month loans now?",February 2020
That's I'm considering 2019 GTS found crazy.,February 2020
"Evidence #1: happened me, feel particularly lucky unlucky, generally assume happens happens general. I'm usually right. Evidence #2: whole Finance lease return rules, regulations, contract (as written Kia Finance) fatally flawed, incompetently flawed, rigged benefit them, recourse customer challenge inaccuracies short CSI tracking system. Evidence #3: Dealership said lose Key FOB 7 years. Makes odd they'd burn customer $350 happens every 7 years, seems like small price pay dent bottom line. What's likely? happens weekly, $350/week would put dent bottom line, therefore that's want pay it. Evidence #4: Kia Finance's whole system billing collecting faulty charges reeks odor. They've done before. seem confident correct. Bottom line find ""evidence"" credible mine, knows whos right correct.",February 2020
"math example: https://www.kiaofcherryhill.com/search/new-kia-stinger-cherry-hill-nj/?s:pr=0&cy=08002&md=7494&mk=30&tp=new 54K MSRP. I'm thinking get invoice (50,726) let's say selling price $49500. payment NJ tax first payment OOP $670. Acq fee $595, 450 doc, 400 Reg like Stinger lot, nearly $700 I'd forced look options set leasing.",February 2020
@andres3,February 2020
"Almost entry level luxury cars turbos days, recent video ""Engineering Explained"" tries make case advantages naturally aspirated engines. https://www.youtube.com/watch?v=m2qExaEwn0g",February 2020
"Evidence one. run state attorney, you’ll fit right in.",February 2020
