,product_name,product_review,rating
8864,3 Fonteinen J & J Oude Geuze Blauw,"Blind tasting: Amber gold. Ornate tiny-bubbled white head is rocky and extremely persistent. Mesmerizing nose of peaches and lactobacillus. Equally proportionate hints of clay, iron, horseblanket and musty minerals and oak. Vigorous swirls unveil an astonishingly lustrous fruitiness as well as some band-aid phenols. Fine carbonation massages the palate. Slickly bodied. Tongue-buckling acidity slowly yields to an explosively juicy, flavorsome and bright peach-fuzz acidity. Unbelievably polished from the get-go. Harsh phenols take a backseat to the supple fruitiness. Oak is clean and artfully restrained, allowing the dizzying array of nuances to fully bloom.  Oak tugs on the palate and dries things out, beautifully contrasting with the fruity esters which coat and gently embrace the tongue. Fusion of oak and hay-like malt is in perfect harmony as are the seamlessly interwoven slick fruitiness and cleansing dryness. Finishes with a gorgeous flash of acetic acid which is adorned with clean oak and bouncy notes of nutty and hay-like malt. World-class stuff all the way. Easily one of the most well-rounded and extravagant beers I’ve ever experienced. Thanks for sharing, cquiroga!",4.6
8890,3 Fonteinen J & J Oude Geuze Blauw,"75 cL bottle. Pours hazy orange with a huge white head. Slight sweaty aroma, citric to acidic, calssic lambic yet more softened off. Very wellbalanced acidic flavour with a slight sweetness. Wow.",4.2
8942,3 Fonteinen J & J Oude Geuze Blauw,(labelled as Drie Fonteinen Akkurats Gold Geuze 50/50) hazy orange colour. White fluffy head. Frresh aroma of hay and grapefruit. Grapefruit and lemon-peels in flavour with a strong barnyard character. Fruity dry finish of grapefruit and hay.,3.9
8727,3 Fonteinen J & J Oude Geuze Blauw,"Hazy golden of color with a small white head. An sour aroma of barn, weak sweets, horse and dusty dry. A sour flavor with notes of  barn, horse, weak sweets, dry and vinegar.",3.8
8873,3 Fonteinen J & J Oude Geuze Blauw,"fucking wow. Thanks to JohnC for breaking this out at PPSAF. Tart, funky, orange tangerine zest sourness. Light zesty cheesy and sour.",4.5
8927,3 Fonteinen J & J Oude Geuze Blauw,"two bottles shared in june 2006, purchased from Heeren van Lindekerke 



Much more funk in the nose compared to the Roze... some rich, stinky cheese, and starchy sour cream.  Much more lively carbonation as well, very active on the tongue, peppy.  Creamy acidity, flavor is a little subdued (but I had allergies this day).  Rich and sweet tasting, with some really funky, cheese-like funky flavors of horseblanket, lemons, hay and wheat.  Aroma is amazingly rich and ""funked"", more so than any other gueuze I’ve had.  Really a different animal than most old gueuze, over-funked, over-cheesed, fresh and lively, simply amazing.




third sample from may 2010: chewy, fatty bile, soft and thick like dough.  pungent mold and pork fat bile... easily the best of the night up against roze, crianza helena, 07 3F and 06 hanssens.",4.2
8710,3 Fonteinen J & J Oude Geuze Blauw,Bottle thanks to MaltoMeal and shared for his 1000th rating at the May tasting Pours a cloudy orange with a small off white head that diminishes quickly. The aroma is fruit and ester and floral. Sour fruit flavor with citrus and a nice lingering tart finish. Really enjoyed this impressive Gueuze from 3 Fonteinen.,4.4
8777,3 Fonteinen J & J Oude Geuze Blauw,"Bottle courtesy of Brad at the first DC tasting of 2010 - thanks Brad!
Slightly cloudy straw colored with a large white fizzy head that clears quickly to reveal nice lacing.  Amazing carbonation for a 6+ year old brew.  Aroma of sour grapefruit, pepper, and moderate funk.  Flavor is musty, citrusy, dry and acidic.  Highly complex, and has the best body of any 3F I’ve tasted.  Superb.",4.7
8830,3 Fonteinen J & J Oude Geuze Blauw,"Poured a hazy golden color with a large white head that left nice lacing on the glass.  Aroma of brett, leather, funky cheese, horsey, and green apple.  Taste was bretty, with green apple, and lemon peel, and a sharp, sour finish which didn’t seem to come together as nicely as the Roze.  Thanks to Steve for sharing these!",4.5
8787,3 Fonteinen J & J Oude Geuze Blauw,"From a 750ml bottle at The Lion’s Pride - thanks Chris!  Pours a light bright golden colour with a significant pure white head.  Aromas of funky white grapes, pink peppercorns, citrus, and a pleasant earthiness.  The flavour is gueuze at its absolute best: more funky, clean white grapes, citrus, and an ethereal slightly earthy sour finish.  The balance and refinement achieved here are nothing short of spectacular.  This is as close to perfection as I have ever tasted.",4.9
