title,source,author,url,publishedAt,content
Some Indian American Democrats see themselves in Harris. Others see the limits,NPR,,https://www.npr.org/2024/10/08/nx-s1-5131223/some-indian-american-democrats-see-themselves-in-harris-others-see-the-limits,2024-10-08T21:57:10Z,"In the warm Georgia heat, Kannan Udayarajan is sipping chai and talking politics at an Indian restaurant in a small strip mall in suburban Atlanta.

There used to be only one Indian restaurant here, Udayarajan says, in this corner of adjoining suburbs at the edge of Forsyth County.

""Now in a 10 mile radius we probably have 40 to 50 at a minimum.""

The exponential rise in Indian restaurants follows a wave of Desi immigrants here. Desi is a term many people from the South Asian diaspora use to describe themselves. These immigrants are no longer primarily landing in traditional South Asian strongholds, like California and New York, but are also reshaping states like Texas and Georgia, helping transform metropolitan suburbs into some of the most diverse spaces in American life. Indian Americans now make up the second largest immigrant population in the United States.

Udayarajan says he's been a political junkie ever since he came to America for work in 2007. He hadn't planned to stay, but he got married and had kids, and in 2018 he became a citizen. Still, he didn't get involved in local politics until 2020, when former President Donald Trump was running for his second term. Udayarajan organized in his own community, helping register Indian Americans to vote, sometimes teaching them about American democracy.

""Joe Biden won Georgia by 11,780 votes,"" he says. ""And Forsyth County polled16,000 brand new Democratic votes in that election. So we made an impact.""

South Asians are one of the most progressive Asian American communities, a realignment that dates back to 9/11 and the policies and racial animus that followed. A recent Pew Research Center study found that 68 percent of Indian registered voters identify as Democrats or Democratic-leaning.

Two years ago, Udayarajan became the head of the Forsyth County Democratic Party. He says this year, he believes Desis could again make the difference in a battleground state like Georgia.

Udayarajan is joined at the restaurant by Ashwin Ramaswami, a 25-year-old who was born and raised just a few blocks away in Johns Creek. Udayarajan asks Ramaswami if he thinks the South Asians here are excited about Vice President Kamala Harris' nomination for president.

""I see a huge amount of excitement,"" Ramaswami tells him. Udayarajan asks if it's more among the immigrant community or among folks who were born here?

""I think everyone,"" Ramaswami says. ""It's so different to have a presidential nominee called Kamala, right? Kamala is a Sanskrit word.""

A meme circulating on messaging apps and other social media has been hard to miss. The meme goes that in Sanskrit, Kamala means ""lotus,"" but in America Kamala means POTUS -- President of the United States.

""The ticket's been supercharged for the Desi community,"" Ramaswami says. He points out a personal overlap: Harris' mother is from the same village as his mother in the Indian state of Tamil Nadu.

""People can see the connections, they can see their own stories in her, because politics -- a lot of it is about the policy, but it's also about can you trust the person you're going to be electing.""

Ramaswami left John's Creek to go off to school, and then work. Now he's returned and is making a run for Georgia state Senate. He's part of another growing group -- young South Asian Americans running for office.

At the Democratic National Convention in Chicago this past summer, South Asians gathered everywhere: Delegate meetups and happy hours and networking lunches.

""For all the years that I've been involved in politics, I've been part of the broader Asian American community,"" says Ann Lata Kalayil, co-founder of the South Asian American Policy and Research Institute. ""But more recently, we've started talking about South Asian Americans."" She points out the number of times she heard ""Indian American"" mentioned on the DNC stage and in the media to describe Harris. ""There's a real sense of pride, you know?""

Deep Singh Badhesha grew up in predominantly white Colorado Springs, Colo.

""I was the only South Asian there,"" he says. ""I was always trying to find my identity, but it was hard,"" he says, because no one at school looked like him. He describes experiencing a classic Asian American childhood experience -- the lunchbox moment. ""Your mother will make you a deliciously cooked Indian dish"" Badhesha explains, ""and you'll bring it to school and you open it up and everyone's like, oh, what the hell is that gross food?""

He says when it happened to him he felt like an outsider, so he broke off parts of himself to fit in.

""I used to actually be a super Republican and libertarian person because I used to look for folks like Bobby Jindal or Nikki Haley. And I'm like -- 'oh this is where South Asians look like they're having acceptance, right?'""

Then he went to college and met South Asian peers.

""They instilled a lot more pride in who I was,"" he says.

Badhesha believes things are different now.

""Being in this moment and seeing a lot of young folks in particular who see themselves in the Democratic Party -- who see themselves in Ro Khanna or Pramila Jayapal -- and of course Kamala Harris at the top of the ticket, you know, it's like a huge moment for South Asians.""

Back in the Atlanta suburbs, another group of South Asians are meeting to talk politics, but there is no celebration over Harris' nomination.

""It stings, right?"" says Anjali Enjeti. ""I mean, boy, would I love to celebrate a Black, Jamaican, Indian woman.""

Enjeti says she cannot support Harris because of the Democratic party's political, military and financial support for Israel, and what is happening in Gaza and in other parts of the Middle East.

""It feels like a betrayal that when we finally get somebody who we can relate to in some way, to have them support and enforce a genocide is -- it's just devastating.""

Israel stands accused of war crimes and genocide in front of the International Criminal Court, whose preliminary finding is that it is plausible Israel has violated the convention against genocide. Israel and the Biden administration strongly deny the charges.

Enjeti and Harris are both half Indian, and they can each trace their roots back to southern India. Enjeti says that is where the similarities to Harris end.

""I think identity politics is a trap,"" she says. ""It is a trap to think that somebody's shared demographics or community has anything to do with your values.""

Enjeti is sitting with Farhana Rahman, remembering 2020. They registered voters and knocked on doors and drove people to the polls.

""We were screamed at,"" Enjeti says. ""We faced very real physical threats. We risked it all for Biden to win in Georgia.""

""That same me has done nothing this election cycle,"" Rahman adds.

Rahman says as an Indian American Muslim, she believes another Trump presidency is a ""existential threat to democracy,"" even potentially to her own safety. But she says she doesn't feel safe now. She says she's afraid to speak out against the conflict in Gaza and she's reluctant to tell colleagues and acquaintances that she is Muslim.

""I feel like I have to hide my identity,"" she says. ""It's unfortunate, but the level of Islamophobia, just making it so prevalent -- people can say horrible things to Muslims, and it's completely okay.""

She believes she has faced more Islamophobia and repression in the past year than she did after 9/11.

""After October 7th, it has become extremely dividing to the point where being a Muslim automatically means you are pro-Hamas and [an] anti-Semite.""

Rahman says she still doesn't know who she will vote for on Election Day, but she says the options only fill her with sadness and fear."
Two Jewish Democrats reflect on Congressional efforts to combat surge in antisemitism,NPR,,https://www.npr.org/2024/10/08/nx-s1-5125793/jewish-democrats-antisemitism-congress,2024-10-08T20:41:44Z,"Reps. Jared Moskowitz, Kathy Manning, Josh Gottheimer, and Dan Goldman speak at a press conference in April about allegations of harassment and antisemitism against Jewish students at Columbia University. Stefan Jeremiah/AP/FR171756 AP hide caption

As Congress continues to deal with the policy and political implications of Hamas' attack on southern Israel one year ago, lawmakers are also reflecting on the rise of antisemitism in the United States.

Jewish Americans represent about 2 percent of the population and were the target of 16 percent of hate crimes in 2023 - a surge of over 60 percent from the year before, according to the FBI's hate crime statistics report. Current figures are likely higher, given reports that anti-Jewish animus has been higher since Oct. 7 and the report only captures a few months of data post-attack.

North Carolina Rep. Kathy Manning and Florida Rep. Jared Moskowitz, two Jewish Democratic lawmakers, are working to address the issue despite political divisions within Congress and their own party.

""There's been a change in this country from, you know, the swastika on a wall that happened once in a while or someone being accosted on the street once in a while to the point where you can't even keep up with all the antisemitic attacks that are going on,"" Moskowitz said.

Manning, who co-chairs the House bipartisan task force for combatting antisemitism, said she's been tracking the rise in anti-Jewish hate over the last year.

""I think it's important to remember the attacks began before Israel had any response, before they sent any troops into Gaza,"" she said. ""We saw people being threatened. We saw violent language used against Jews. And, of course, we've seen the eruption of antisemitic behavior on college campuses across the country.""

The rise in demonstrations on college campuses last spring was the subject of various committee hearings in the halls of Congress. House Speaker Mike Johnson brought a Republican delegation to visit Columbia University. Manning and Moskowitz were part of a separate visit with Jewish Democratic lawmakers.

""We didn't go to Columbia because we had a problem with students protesting. They have every right to protest,"" said Moskowitz. ""We went to Columbia because Jewish students were afraid to go to school.""

Protesters on campuses maintained their aim was to show public support for the people in Gaza and to demand their universities divest from companies with ties to Israel.

""We've always been told that you can be anti-Zionist without being antisemitic. And I would say that you could. As it turns out, they're just not,"" Moskowitz said. ""And the reason why is they're not surrounding Israeli students going to class. They're surrounding a kid wearing a Jewish star going to class. They don't know his position on Israel. Maybe he's anti-Israel, but he's Jewish.""

He said the protests highlighted the need for Congress to step in.

""If what was happening on college campuses were not about Jews, if people in hoods were encircling Black kids, blocking them from class, or some right-wing extremist group was targeting the LGBT kids, we don't believe it would have gotten past lunchtime on the first day,"" Moskowitz said. ""We believe Congress would have acted.""

Congress has taken steps over the last year in response to rising antisemitism but there are ongoing divisions about what elements are most important to address at the federal level and which policies will actually lead to solutions.

In May, the House passed the Antisemitism Awareness Act, which would see the adoption of the International Holocaust Remembrance Alliance's definition of antisemitism when reviewing complaints of discrimination in programs that receive federal financial assistance. The bill goes further than an executive order former President Donald Trump signed in 2019 and opponents say it could restrict free speech. The measure has not been taken up by the Senate.

Manning spent nine months with House colleagues and counterparts in the Senate negotiating what she calls the ""most comprehensive bill"" on antisemitism that incorporates the guidance outlined in the Biden administration's national strategy to counter antisemitism. The result is the Countering Antisemitism Act, which would establish a position in the White House to coordinate federal efforts to counter antisemitism across various agencies and to conduct a study that analyzes the prevalence of online antisemitic content. The bill would also appoint a senior official within the Department of Education to be responsible for addressing antisemitism on college campuses.

That bill has yet to be brought to the floor for a vote by Republican leadership.

Moskowitz says the issue more broadly has highlighted what he calls schisms within his own party.

""It was real easy for Democrats, right, when it was just [GOP Rep.] Marjorie Taylor Greene talking about Jewish space lasers to go call her out, or easy when Tucker Carlson has a Holocaust denier on his show to call him out,"" Moskowitz said. ""I didn't see the same level of interest on calling out the antisemitism when it was within your own tent.""

He said Democratic lawmakers weren't unified in their condemnation of some of the violent language being used on campuses.

""As soon as they saw there was division in our party, the Republicans jumped right in from a political issue, from a fundraising issue, and wanted to drive that wedge. We made it easy for them to do that, by the way, when there are people protesting in front of college campuses saying, 'go back to Poland, kill all the Zionists.' And like several of my progressive members are like, 'Oh, look, it's raining today.'

Manning said the events of the past year have brought Jewish members in the House closer together but support from colleagues has been uneven.

""What I have experienced is not antisemitism from my colleagues, but willful ignorance of what so many of us are experiencing,"" she said.

Moskowitz agreed.

""A lot of other members are scared to step out because they don't want to get targeted,"" he said. ""They don't want to get protested in their district and don't want police in front of their house, which I have 24-hours a day.""

He said that police protection began within weeks of October 7, based on death threats against him and his children, ages 7 and 10.

""It's not a pleasant time to be Jewish at the moment,"" he said. ""Almost every Jewish member has this story. My grandparents were Holocaust survivors. And there are bits and pieces of stories my grandmother's told me that are repeating themselves. Different - not the same, but similar threats. And Jews see and feel that. So we'll have to see what the new Congress wants to do. The schisms that exist on this issue are still going to exist.""

Manning adds she hears from Jews across the country worrying about what the future holds, and asking if Congress can help.

""I think so many Jews, particularly of my generation and older, carry all of those stories on their shoulders -- the history of the Crusades, and the Inquisition, and the pogroms and the Holocaust. When I talk to people about what the difference is today is all those other disasters that happened to the Jews were perpetrated by the governments of those countries. What's happening today in the United States, not only is it not perpetrated by our government, our government is trying to put into place structures to combat that antisemitism,"" she said. ""And that's the thing that gives me hope moving forward."""
Family of Hostage Held in Gaza Still Has Hope : State of the World from NPR,NPR,,https://www.npr.org/2024/10/08/1210938240/family-of-hostage-held-in-gaza-still-has-hope,2024-10-08T19:51:17Z,"<iframe src=""https://www.npr.org/player/embed/1210938240/1260096930"" width=""100%"" height=""290"" frameborder=""0"" scrolling=""no"" title=""NPR embedded audio player"">

A year ago, a Hamas-led attack on Israel caused a horrific loss of life, started a war and now the aftermath threatens to further destabilize the region. In that attack, five of Abby Onn's family members were taken hostage. Two were killed, two were released, one remains in captivity. We hear how she and her family are marking the occasion and keeping hope that their final family member will be returned safe.

Listen to a special episode featuring stories of lives changed since last October 7th, in our podcast feed."
"Fact-checking lies about FEMA funding. And, turn climate anxiety into action",NPR,,https://www.npr.org/2024/10/08/g-s1-26840/up-first-newsletter-fema-disaster-response-hurricane-helene-october-7-israel-remembrance,2024-10-08T12:10:11Z,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.

As Hurricane Milton intensifies and heads toward Florida's Gulf Coast, residents are not only preparing for weather impacts but also dealing with misinformation about FEMA. The disaster relief agency has provided hundreds of millions of dollars in aid so far to help those affected by Hurricane Helene. Former President Donald Trump claims FEMA is running out of money after spending it on undocumented migrants. However, FEMA's administrator says those false claims are discouraging people from applying for the federal funds they desperately need.

Israelis yesterday observed a day of grief and reflection to mark one year since the Hamas-led attacks on communities near the country's border. Multiple memorials took place, partly due to disagreements over Israeli Prime Minister Benjamin Netanyahu's insistence on continuing the war in Gaza. Families of hostages and their supporters boycotted the official government memorial service. They're seeking an immediate cease-fire deal to end the war and secure the release of the remaining 101 hostages.

In a wide-ranging interview with 60 Minutes yesterday, Vice President Harris was pressed for specifics on how she would pay for her economic plans and work to end the war in Ukraine. Her appearance on the show is part of a long tradition of presidential candidates sitting for interviews with 60 Minutes, dating back to 1968. Trump has criticized Harris for being unwilling to sit for difficult interviews with the press. The show says Trump was scheduled to appear for an interview as well, but his campaign canceled last week. Here's a deeper dive into Harris' responses during the interview.

NPR is visiting six key swing states that will likely decide this year's historic election. This week, Morning Edition is in Michigan to listen to voters about what matters to them and how that will affect their vote.

In 2017, Trump introduced ""Opportunity Zones,"" a tax incentive program aimed at encouraging investment in low-income and distressed communities like Detroit. Some were concerned at the time that investors would benefit more from the program than residents. Detroit Public Radio's Russ McNamara says it's a ""firm maybe"" that the program has reached its goal. Listen to hear more about what the program has achieved so far and how development in Opportunity Zones can be measured.

Stress Less

is a new series from NPR that will help you find your calm. Subscribe to the

Stress Less newsletter

series for more powerful tools and strategies to help reduce anxiety and improve feelings of well-being

Data shows that over half of young adults have experienced feelings of anxiety, anger, or powerlessness regarding human-driven climate change. A new course called Climate Resilience, offered for the first time at several University of California campuses last spring, aims to turn students' distress about the climate into collective action. The course features inspiring lectures from scientists and leaders in the climate movement to provide a more hopeful perspective. It also teaches resilience and coping skills, offering universal techniques and exercises that can help manage stress. Here are some strategies from the course:"
One boy's story shows the impact of rising Israeli settler violence in the West Bank,NPR,,https://www.npr.org/sections/the-picture-show/2024/10/08/g-s1-22630/photos-palestinian-family-impact-israeli-settler-violence-occupied-west-bank,2024-10-08T11:33:53Z,"Noor Assi, 15, sits on his bed while watched by his 5-year-old sister Jenna in the village of Qarawat Bani Hassan, Israeli-occupied West Bank, on Feb. 23. Ayman Oghanna for NPR hide caption

In a carpentry shop in the village of Qarawat Bani Hassan, in the Israeli-occupied West Bank, Noor Assi is at work packaging a wooden table. He tears off strips of tape, tying it to padded cardboard, before flipping the table on its side.

He says he is 15 ""and a half,"" a measurement in age split between the innocence of youth and a desire for manhood.

The war in Gaza has caused tensions to flare across the Middle East, especially in places like the West Bank. The Israeli-occupied territory is the most violent it has been in decades. United Nations figures say that almost 700 Palestinians in the area have been killed, either by Israeli forces or settlers, in the past year. Noor's father was among those fatally shot.

""My childhood is gone,"" Noor says. He was forced to grow up by a grim rite of passage.

On Dec. 2, Israeli settlers raided his village in the central West Bank and shot his father, Ahmed Assi, dead, according to the family, residents and local officials.

The Israeli military told NPR that they responded to a physical confrontation between Palestinians and Israeli citizens in Qarawat Bani Hassan with riot disposal means and live fire and that the circumstances of Assi's death were still under review.

Ahmed Assi's mother, Noor's grandmother, shows bloodied clothes and a sweatshirt with a single bullet hole in the back. Assi's 5-year-old daughter, Jenna, looks on, wearing a necklace with a picture of her dead dad.

""When my father was martyred, I started to work, I took over my father's profession, I started working and spending on the house. I was smart and managed things, meaning I became responsible for the house,"" Noor says.

Noor dropped out of school, working full time in the family's carpentry warehouse, sometimes for 13 hours a day, to provide for his five siblings.

""I am responsible for them now. I take care of them and whatever they want, I get them. I don't let them want for anything.""

Noor looks young, is shy and has a boyish haircut -- long on top, a fade on the sides and back. He maintains his look with regular visits to the village barbershop.

In the Middle East, the barbershop is not just a place to cut your hair. It's also a place to socialize, hang out and talk about everything from family to sports and politics. Not long after Noor gets his trim, the village's mayor, Ibrahim Assi, enters. He is a distant relative of Noor's. It's a small community and family ties are strong. A poster of Noor's deceased father is plastered outside.

The mayor explains that Qarawat Bani Hassan is surrounded by an ever-expanding network of Israeli settlements and outposts. About 500,000 Israeli settlers live in the occupied West Bank, according to the United Nations. The settlements they live in are deemed illegal by the international community. Israeli politicians like Prime Minister Benjamin Netanyahu, however, have promoted their expansion, and they're growing through a web of smaller outposts.

The mayor says that violence from the settlers is terrorizing the Palestinians who live here.

""The West Bank is currently living in a nightmare, a nightmare that has lost its security and safety due to the violence of the Ministry of Settlers, who are -- on a daily basis -- assaulting, killing and harassing and stealing. They are committing real crimes against citizens and farmers that are present on their own land,"" the mayor says.

On Dec. 2, he says, settlers entered the village, damaging property, burning cars, wounding one man and shooting Noor's father dead. His lifeless body was found hours later in an olive grove on the outskirts of Qarawat Bani Hassan.

Noor may maintain his teenage haircut. But he has the hardened hands of an older working man, no longer hanging out with friends, devoting himself, instead, to work, faith and family.

At home, he helps out with the household chores, learning to cook from his mother. He sometimes feels pangs of envy for other teenagers.

""I do get jealous, I sometimes feel like playing, like them, but it doesn't work. I have a family to take care of,"" Noor says.

On Friday, the holiest day of the week in Islam, Noor prays at the village mosque before his weekly ritual of visiting his father's grave, draped in a Palestinian flag.

Prayer is important to Noor, from morning to night. Fighting back tears, he says the Islamic funeral prayer for his father on the porch outside his home.

""O God, forgive him and have mercy on him, and heal him, and pardon him, and grant him an honorable reception.""

Noor says that each night, after prayer, he speaks to his father.

""I tell him what is happening, what we are doing, and who is coming over, for example,"" he says. ""Last time, he came to me in a dream and told me, 'Take care of your family and your brothers.' """
"FEMA Misinformation, Candidates On the Podcast Circuit, Israelis Mark Oct. 7 : Up First from NPR",NPR,,https://www.npr.org/2024/10/08/1210938583/up-first-fema-misinformation-candidates-on-podcasts-israelis-remember-10-08-2024,2024-10-08T10:38:43Z,"FEMA Misinformation, Candidates On the Podcast Circuit, Israelis Mark Oct. 7 : Up First from NPR Disaster relief officials try to push back on rampant misinformation about hurricane relief. Why presidential candidates appear on podcasts. And Israelis mark one year after Oct. 7.

Want more comprehensive analysis of the most important news of the day, plus a little fun? Subscribe to the Up First newsletter.

Today's episode of Up First was edited by Hannah Bloch, Megan Pratz, Ally Schweitzer and Alice Woelfe. It was produced by Paige Waterhouse, Nia Dumas and Ana Perez. We get engineering support from Carleigh Strange and our technical director is Zac Coleman."
Harris and Trump marked 1 year since the Oct. 7 attacks with tributes to the victims,NPR,,https://www.npr.org/2024/10/07/nx-s1-5144699/kamala-harris-donald-trump-october-7,2024-10-07T22:25:41Z,"One year after Hamas attacked Israel, both major-party presidential candidates marked the date on Monday with promises of continued support for the Jewish state.

Vice President Harris remembered the victims of the Oct. 7 attack by planting a memorial tree at her residence at the Naval Observatory in Washington, D.C., while former President Trump visited a sacred site for Hasidic Jews in Queens, N.Y.

""I will never forget October 7, and the world must never forget,"" Harris said during a tree-planting ceremony on the grounds of the vice president's residence. ""We must work to ensure nothing like the horrors of October 7 can ever happen again.""

Hamas, which controls Gaza, killed about 1,200 people in Israel on Oct. 7 and took some 250 hostage in Gaza, according to Israel. A year later, more than 100 hostages are still unaccounted for. Israel's response to the attack has killed at least 41,000 people in Gaza, according to Gaza health officials.

Harris reiterated her support for Israel's defense, and promised the Biden administration would continue working to free the remaining hostages in Gaza. She then read the names of seven missing American citizens.

Harris also called for efforts to ""relieve the immense suffering of innocent Palestinians in Gaza who have experienced so much pain and loss over the year.""

She appeared alongside her husband Doug Emhoff, who is Jewish and and who has led White House efforts to fight antisemitism.

Trump met with members of an Orthodox Jewish community in New York on Monday morning, and visited the grave of Rabbi Menachem Mendel Schneerson, an influential orthodox rabbi who died in 1994. Trump was then scheduled to attend an Oct. 7 remembrance event Monday evening with Jewish leaders, according to Trump campaign officials.

Hamas' stated goal is the elimination of Israel and the establishment of a Palestinian state. Israel says the objective of the war in Gaza is to eliminate Hamas.

The war has exposed rifts within the Democratic Party over the Biden-Harris administration's support for Israel. Those divides are particularly pronounced among younger voters -- a key voting bloc for Democrats and a group more likely than older voters to express sympathy for the Palestinian people. According to the Pew Research Center, voters ages 18-29 also are less supportive of U.S. military aid to Israel.

Trump has sought to capitalize on those tensions within his rival's party, saying recently that any Jewish voter who supports a Democrat is a ""fool."" Those remarks drew widespread criticism from Jewish organizations across the ideological spectrum.

He continued emphasizing the message in an interview Monday with radio host Hugh Hewitt. ""I did more for Israel than anybody, I did more for the Jewish people than anybody, and it's not a reciprocal, as they say,"" Trump said."
"'All this blood, all this death': Palestinians protest Israel war with no end in sight",NPR,,https://www.npr.org/2024/10/07/nx-s1-5144289/israel-hamas-gaza-war-palestinians-protest-west-bank,2024-10-07T21:43:45Z,"A year after the Hamas attack, Israel continues its military campaign in Gaza, while its operations in the occupied West Bank have expanded significantly.

For Palestinian civilians caught in the middle of the ongoing conflict between Israeli forces and the Hamas militant group, the consequences have been unremittingly difficult, and deadly.

The death toll from Israel's offensive in Gaza is now approaching 42,000 Palestinians, with another 39 deaths recorded Monday at local hospitals, according to Gaza's health authorities.

Hamas, designated a terrorist group by the United States and several other nations, has seen its control over territory in Gaza diminish over the past 12 months, leaving a political and logistical vacuum that international aid groups have struggled to fill.

Cease-fire talks between Hamas and Israel, brokered by the United States, Qatar and Egypt, are on hold, so for civilians in Gaza, the forced displacement that for many began last October, still has no end in sight.

In the Deir al-Balah region of central Gaza, 58-year-old Abu Nidal Musleh lives in a makeshift tent, wearing mismatched shoes.

The father of seven comes from the same area of northern Gaza were civilians were once again ordered to evacuate Monday, and he's been displaced four times in the last year.

When Hamas-led fighters attacked communities in southern Israel a year ago, they killed more than 1,200 and seized about 250 hostages, according to Israeli officials. Musleh was a teacher on his way to school that day.

He told NPR on Monday he feels empathy for the Israeli hostages held by Hamas -- but he blames Israel's prime minister Benjamin Netanyahu for the suffering both sides have endured, and he insists peace will only be possible if Israeli citizens oust their premier.

""Rise up against Netanyahu,"" he said. ""Rise up -- so we can have normal relations.""

Meanwhile, in the West Bank, violence has worsened in the past year between Palestinian militants belonging to Hamas and other armed groups, and Israeli settlers and the Israeli military, which oversees the occupied territory with a vast network of checkpoints and military outposts.

Over the past few months, some of the heaviest Israeli airstrikes in decades have rocked Palestinian communities in the West Bank, killing dozens, alongside large-scale raids into cities including Jenin.

In Ramallah, the Israeli-occupied West Bank's biggest city, dozens of Palestinians gathered in the main square Monday, waving Palestinian flags and carrying anti-occupation signs.

Basma Abu Sway said she had come to mark one year since the war in Gaza began, and called last Oct. 7 one of the most important days in Palestinian history.

She said she hopes the sacrifices made by Palestinians in Gaza and the West Bank will not be for nothing.

""All this blood, all this death is bringing peace to Palestine,"" she said. ""We deserve as Palestinian people to live in complete liberation.""

Settler violence and Israeli military raids into towns and villages in the West Bank have killed more than 730 Palestinians since the beginning of the war, according to a combined count of data from the United Nations and Palestinian health authorities.

On Monday the Palestinian advocacy group, Palestinian Prisoners' Club,, announced that Israeli military forces had arrested 45 people through Sunday night into Monday morning across the West Bank.

Rima Nazzal was also in Ramallah's Manara Square Monday, and said she felt concern and fear -- worried that Israel's occupation of Palestinians would grow stronger as a result of the its military's actions after Oct. 7 last year.

""The world says Israel has a right to defend itself,"" she said. ""As if it says Israel has a right to defend its occupation."""
Photos: A look back at the year since Oct. 7,NPR,,https://www.npr.org/sections/the-picture-show/2024/10/07/g-s1-25745/israel-gaza-photos-october-7,2024-10-07T20:28:40Z,"A Palestinian girl carries a child through the rubble of houses destroyed by Israeli bombardment in Gaza City on March 3, amid the ongoing conflict between Israel and the Hamas movement. AFP/via Getty Images hide caption

This story is a part of an NPR series reflecting on Oct. 7, a year of war and how it has changed life across Israel, the Gaza Strip, the region and the world.

NPR journalists have spent the past year witnessing, capturing and documenting the suffering and pain that war has inflicted on people in the Gaza Strip, Israel, the occupied West Bank and Lebanon.

For Israelis, it began when Hamas militants stormed out of the Gaza Strip on Oct. 7 last year, attacking soldiers, families in their homes and a rave packed with young people. The attacks killed around 1,200 people and took 250 hostage, according to Israeli authorities.

Israelis have been divided since: Many have spent the past year in rallies demanding a cease-fire that frees the hostages. Others have pressed their government to continue fighting Hamas, even blocking aid crossing into Gaza.

In Gaza, nothing looks the same a year into the war. Among the more than 41,000 Palestinians killed by Israeli fire this past year are hundreds of families, according to Gaza's Health Ministry. More than half of those killed are women and children. Around 100,000 others in Gaza have been wounded, thousands of them children who have lost limbs.

A year on, nearly everyone in Gaza is displaced, huddling in bombed out schools and under makeshift tents without electricity, running water or safety.

Below is a collection of moments from the past 365 days of this war, captured by NPR photographers and others across the region."
"'If You Can Keep It': The War In Gaza, One Year Later : 1A",NPR,,https://www.npr.org/2024/10/07/1210935852/1a-10-07-2024,2024-10-07T19:10:16Z,"Israeli army soldiers stand by as a yellow ribbon along with the number 365, signifying the number of days since the October 7, 2023 attacks.

Today is Oct. 7, marking one year since the Hamas-led attacks in southern Israel.

Hamas fighters killed over 1,200 people. In response, the Israeli government launched airstrikes and a ground invasion in Gaza, killing almost 42,000 people so far according to Palestinian health authorities.

Despite repeated attempts, the United States has failed to broker a ceasefire - in both Gaza and now at Israel's northern border as its military targets the Iran-backed militant group Hezbollah in Lebanon.

Last week, Israel said it secured $8.7 billion from the U.S. for its ongoing military efforts.

Typically, each week leading up to Nov. 5, we focus on the stakes of this election, for people, our country and our democracy.

Today's ""If You Can Keep It"" discussion will sound a little different.

What are the stakes of the U.S. election for the people of a Middle East in conflict?"
